# n values
21 0.0476190476 4.3923174228 54.9909083395 229.1287847478 4.7242387802 92.2386658784 90194313216.0000000000 44100.0000000000 441.0000000000 18522.0000000000 642106.1728396028 10460353203.0000000000
22 0.0454545455 4.4594316186 56.2849891179 234.5207879912 4.8376625082 98.1074956100 94489280512.0000000000 48400.0000000000 484.0000000000 21296.0000000000 969264.1468140059 31381059609.0000000000
23 0.0434782609 4.5235619561 57.5499782798 239.7915761656 4.9485868458 104.0419249893 98784247808.0000000000 52900.0000000000 529.0000000000 24334.0000000000 1444974.6680502261 94143178827.0000000000
24 0.0416666667 4.5849625007 58.7877538268 244.9489742783 5.0571720996 110.0391000173 103079215104.0000000000 57600.0000000000 576.0000000000 27648.0000000000 2129201.6120984694 282429536481.0000000000
25 0.0400000000 4.6438561898 60.0000000000 250.0000000000 5.1635620995 116.0964047444 107374182400.0000000000 62500.0000000000 625.0000000000 31250.0000000000 3103361.4584906185 847288609443.0000000000
26 0.0384615385 4.7004397181 61.1882341631 254.9509756796 5.2678864785 122.2114326717 111669149696.0000000000 67600.0000000000 676.0000000000 35152.0000000000 4477101.3408672055 2541865828329.0000000000
27 0.0370370370 4.7548875022 62.3538290725 259.8076211353 5.3702625626 128.3819625584 115964116992.0000000000 72900.0000000000 729.0000000000 39366.0000000000 6396960.5619853325 7625597484987.0000000000
28 0.0357142857 4.8073549221 63.4980314656 264.5751311065 5.4707969482 134.6059378176 120259084288.0000000000 78400.0000000000 784.0000000000 43904.0000000000 9057373.6627222616 22876792454961.0000000000
29 0.0344827586 4.8579809951 64.6219776856 269.2582403567 5.5695868291 140.8814488587 124554051584.0000000000 84100.0000000000 841.0000000000 48778.0000000000 12714570.1157651786 68630377364883.0000000000
30 0.0333333333 4.9068905956 65.7267069006 273.8612787526 5.6667211194 147.2067178683 128849018880.0000000000 90000.0000000000 900.0000000000 54000.0000000000 17704040.4567547739 205891132094649.0000000000
